Time (Gyr),Hubble Parameter in Voids,Hubble Parameter in Clusters,Total Cosmic Expansion Energy,Energy Difference (Chaotic Sensitivity)
16.23246492985972,69.63352182638674,69.63352182638674,9697.654723891757,1.0744479368440807e-06
16.332665330661325,69.56384536280352,69.56384536280352,9678.25716332008,1.521844751550816e-06
16.432865731462925,69.49434405515966,69.49434405515966,9658.927711313809,2.045504515990615e-06
16.53306613226453,69.42504581458068,69.42504581458068,9639.673972713254,2.644579581101425e-06
16.633266533066134,69.35597847064216,69.35597847064216,9620.503499240356,3.318113158456981e-06
16.733466933867735,69.2871697601935,69.2871697601935,9601.423786755748,4.0650156734045595e-06
16.83366733466934,69.21864731621919,69.2186473162192,9582.442272574279,4.884097506874241e-06
16.933867735470944,69.15043865674156,69.15043865674156,9563.566332839555,5.774034434580244e-06
17.034068136272545,69.08257117376976,69.08257117376976,9544.80327995793,6.733404006808996e-06
17.13426853707415,69.01507212229944,69.01507212229944,9526.160360092388,7.76066372054629e-06
17.234468937875754,68.94796860936731,68.94796860936731,9507.6447507166,8.854161933413707e-06
17.334669338677354,68.88128758316525,68.88128758316525,9489.26355822943,1.0012137863668613e-05
17.43486973947896,68.81505582221806,68.81505582221806,9471.023815629975,1.12327397800982e-05
17.535070140280563,68.74929992462953,68.74929992462953,9452.93248025333,1.2514006812125444e-05
17.635270541082164,68.68404629740083,68.68404629740083,9434.996431567,1.3853872587787919e-05
17.73547094188377,68.61932114582567,68.61932114582567,9417.222469027914,1.525019615655765e-05
17.835671342685373,68.55515046296651,68.55515046296651,9399.617309999954,1.6700723790563643e-05
17.935871743486974,68.49156001921594,68.49156001921594,9382.187587731718,1.8203129002358764e-05
18.03607214428858,68.42857535194756,68.42857535194756,9364.93984939433,1.975500344997272e-05
18.13627254509018,68.36622175526034,68.36622175526034,9347.880554178864,2.1353851479943842e-05
18.236472945891784,68.30452426982075,68.30452426982075,9331.016071453063,2.2997102860244922e-05
18.336673346693388,68.24350767280663,68.24350767280663,9314.352678976835,2.468212005624082e-05
18.43687374749499,68.18319646795693,68.18319646795693,9297.896561176029,2.6406200049677864e-05
18.537074148296593,68.12361487573119,68.12361487573119,9281.65380747389,2.8166567062726244e-05
18.637274549098198,68.06478682358279,68.06478682358279,9265.63041067954,2.996039984282106e-05
18.7374749498998,68.00673593634997,68.00673593634997,9249.83226543287,3.178480801580008e-05
18.837675350701403,67.94948552676816,67.94948552676816,9234.26516670495,3.363687574164942e-05
18.937875751503007,67.89305858610793,67.89305858610793,9218.934808353366,3.5513618058757856e-05
19.03807615230461,67.83747777494185,67.83747777494185,9203.846781731458,3.741201726370491e-05
19.138276553106213,67.78276541404412,67.78276541404412,9189.006574350671,3.932903382519726e-05
19.238476953907817,67.72894347542689,67.72894347542689,9174.419568595142,4.1261579099227674e-05
19.338677354709418,67.67603357351632,67.67603357351632,9160.091040487416,4.3206560803810135e-05
19.438877755511022,67.62405695647256,67.62405695647256,9146.026158504488,4.516084482020233e-05
19.539078156312627,67.57303449765658,67.57303449765658,9132.229982442972,4.7121291572693735e-05
19.639278557114228,67.52298668724762,67.52298668724762,9118.707462332439,4.9084761485573836e-05
19.739478957915832,67.47393362401459,67.47393362401459,9105.463437395854,5.104808951728046e-05
19.839679358717436,67.42589500724445,67.42589500724445,9092.502635055904,5.300813245412428e-05
19.939879759519037,67.37889012883124,67.37889012883124,9079.829669986226,5.496173616847955e-05
20.04008016032064,67.33293786552862,67.33293786552862,9067.449043206276,5.690576472261455e-05
20.140280561122246,67.28805667136906,67.28805667136906,9055.36514121875,5.8837093092733994e-05
20.240480961923847,67.24426457025292,67.24426457025292,9043.582235188345,6.075262172089424e-05
20.34068136272545,67.2015791487102,67.2015791487102,9032.104480160722,6.264927469601389e-05
20.440881763527056,67.16001754883791,67.16001754883791,9020.935914320433,6.45240015728632e-05
20.541082164328657,67.119596461416,67.119596461416,9010.080458286653,6.637379738094751e-05
20.64128256513026,67.08033211920443,67.08033211920443,8999.541914445539,6.819568443461321e-05
20.741482965931866,67.04224029042427,67.04224029042427,8989.323966317976,6.998673961788882e-05
20.841683366733466,67.00533627242535,67.00533627242535,8979.430177961602,7.174408892751671e-05
20.94188376753507,66.96963488554289,66.96963488554289,8969.863993405846,7.346490201598499e-05
21.042084168336675,66.93515046714586,66.93515046714586,8960.628736118913,7.514642129535787e-05
21.142284569138276,66.90189686587915,66.90189686587915,8951.727608505462,7.678594374738168e-05
21.24248496993988,66.86988743610215,66.86988743610215,8943.163691433943,7.83808391133789e-05
21.342685370741485,66.83913503252569,66.83913503252569,8934.939943792406,7.992854079930112e-05
21.442885771543086,66.80965200504973,66.80965200504973,8927.05920207169,8.14265622466337e-05
21.54308617234469,66.78145019380375,66.78145019380375,8919.524179974982,8.287250057037454e-05
21.643286573146295,66.7545409243918,66.7545409243918,8912.337468052601,8.426403837802354e-05
21.743486973947896,66.72893500334436,66.72893500334438,8905.501533361115,8.559892739867792e-05
21.8436873747495,66.70464271377838,66.70464271377838,8899.018719145655,8.687503759574611e-05
21.943887775551104,66.68167381126779,66.68167381126779,8892.891244544631,8.809031169221271e-05
22.044088176352705,66.66003751992564,66.66003751992564,8887.121204315788,8.92427942744689e-05
22.14428857715431,66.63974252869988,66.63974252869988,8881.710568582825,9.033064270624891e-05
22.244488977955914,66.6207969878839,66.6207969878839,8876.661182601683,9.13521034817677e-05
22.344689378757515,66.60320850584344,66.60320850584344,8871.974766545713,9.230554132955149e-05
22.44488977955912,66.58698414596113,66.58698414596114,8867.652915308958,9.318941738456488e-05
22.545090180360724,66.57213042379993,66.57213042379993,8863.697098326857,9.400232011103071e-05
22.645290581162325,66.5586533044865,66.5586533044865,8860.108659413663,9.474293801758904e-05
22.74549098196393,66.54655820031569,66.54655820031569,8856.888816616007,9.541008148516994e-05
22.845691382765533,66.53584996857698,66.53584996857698,8854.038662081972,9.600268458598293e-05
22.945891783567134,66.52653290960387,66.52653290960387,8851.559161945213,9.651978689362295e-05
23.04609218436874,66.51861076504683,66.51861076504683,8849.451156223608,9.69605716818478e-05
23.14629258517034,66.51208671637079,66.51208671637079,8847.715358732055,9.732430953590665e-05
